Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"其れ程","それほど","そ..ほど","to that degree, to that extent.","いや、それほど混んでなかったよ。","No, the traffic wasn't too bad.","其程, 其儘, 其方, 程度, 過程, 日程, 課程, 方程式"
"安心","あんしん","あん.しん","peace of mind, relief.","あいつに仕事を任せておけば安心だ。","You can trust him with any job.","安全, 目安, 安定, 用心, 心地, 関心"
"安全","あんぜん","あん.ぜん","safety, security.","君は自分の安全にもっと気を配るべきだ。","You should be more thoughtful of your safety.","安心, 目安, 安定, 全部, 完全"
"以下","いか","い.か","not exceeding ..., not more than ...","１６歳以下の子供は劇場には入場できません。","Children of age sixteen and under will not be admitted to the theatre.","以内, 以上, 以外, 靴下, 下宿, 地下鉄"
"以内","いない","い.ない","within, inside of.","１週間以内に電話します。","I'll call you within a week.","以下, 以上, 以外, 家内, 案内"
"意見","いけん","い.けん","opinion, view.","ここではどんどん意見をおっしゃってかまいません。","You can speak out freely here.","意味, 注意, 用意, 意外, 見物, 見舞い"
"医学","いがく","い.がく","medical science, medicine.","二人の医者が医学の話をしていた。","Two doctors were talking shop.","医者, 医師, 医療, 学生, 学校, 大学, 歯医者, 小学校"
"一生懸命","いっしょうけんめい","いっ.しょう.けん.めい","very hard, with utmost effort.","もっと一生懸命勉強すべきだったのに。","You should have worked harder.","一緒, 一番, 唯一, 学生, 懸賞, 懸念, 懸案, 寿命, 生命, 命令, 一昨日, 誕生日"
"運ぶ","はこぶ","はこ","to carry, to transport.","荷物を二階に運んでいただけませんか。","Would you carry my luggage upstairs?","運転, 運動, 運転手"
"運転手","うんてんしゅ","うん.てん.しゅ","driver, chauffeur.","運転手はベルトを締めるべきだ。","Drivers should wear seat belts.","運動, 派手, 上手, 下手, 自転車"
"雲","くも","くも","cloud, skylark (Alauda arvensis).","雲がだんだん黒くなっています。","The clouds are getting darker.",""
"下げる","さげる","さ","to hang, to suspend.","ラジオの音を下げてくれませんか。","Could you turn down the radio?","靴下, 下宿, 地下鉄"
"科学","かがく","か.がく","science, to think about scientifically.","科学は観察に基づいている。","Science rests upon observation.","科目, 外科, 理科, 学生, 学校, 大学, 教科書, 小学校"
"火","ひ","ひ","fire, flame.","いすをもっと火の近くに寄せなさい。","Draw your chair closer to the fire.",""
"課長","かちょう","か.ちょう","section manager, section chief.","私は課長に任命された。","I was appointed to section chief.","課目, 課程, 日課, 長閑, 校長, 長引く"
"会議","かいぎ","かい.ぎ","meeting, conference.","会議に彼は現れましたか。","Did he show up at the meeting?","会社, 会場, 議員, 議会, 議長, 出会う"
"会場","かいじょう","かい.じょう","assembly hall, meeting place.","私たちは会場の後ろに座った。","We sat at the back of the hall.","会社, 会議, 場所, 工場, 出会う, 駐車場, 飛行場"
"会話","かいわ","かい.わ","conversation, talk.","機知は会話に趣を添える。","Wit gives zest to conversation.","会社, 会議, 会場, 電話, 出会う, 話し合う"
"海岸","かいがん","かい.がん","coast, beach.","このバスは、海岸に行きますか。","Does this bus go to the beach?","海外, 海洋, 沿岸, 彼岸, 岸辺, 海水浴"
"皆","みな","みな","everyone, everybody.","生徒達はみんな家に帰りました。","All the students have gone home.",""
"楽しみ","たのしみ","たの","enjoyment, pleasure.","水泳が私の楽しみの１つです。","Swimming is one thing I enjoy.","音楽, 楽器, 楽譜"
"簡単","かんたん","かん.たん","simple, easy.","テニスをすることは私には簡単だ。","Playing tennis is easy for me.","簡易, 簡素, 簡潔, 書簡, 単位, 単純"
"間","あいだ","あいだ","space (between), gap.","彼はメアリーとトムの間に座った。","He was sitting between Mary and Tom.",""
"関係","かんけい","かん.けい","relation, relationship.","これとあれはどういう関係があるの。","How is this connected to that?","玄関, 関心, 関連, 係長"
"危険","きけん","き.けん","danger, peril.","トムは危険に直面して彼の勇気を示した。","Tom showed his courage in the face of danger.","危機, 危惧, 冒険, 保険, 険悪"
"機会","きかい","き.かい","chance, opportunity.","またの機会にしましょう。","Let's make it some other time.","機械, 機関, 機能, 会社, 会議, 会場, 飛行機, 出会う"
"帰り","かえり","かえ","return, coming back.","どうして帰りがこんなに遅くなったの。","Why did you come home so late?","帰宅, 帰京"
"気","き","き","spirit, mind.","彼は年はとっているが気は若い。","Though he is old, he has a youthful spirit.",""
"気分","きぶん","き.ぶん","feeling, mood.","とても気分がリフレッシュされる。","I feel like a brand new person.","元気, 気配, 湯気, 気質, 天気, 自分, 大分, 半分"
"季節","きせつ","き.せつ","season, time of year.","この季節は卵が安い。","Eggs are cheap this season.","四季, 夏季, 冬季, 季語, 節約, 調節"
"規則","きそく","き.そく","rule, regulation.","この規則はあなたにも当てはまる。","This rule applies to you, too.","定規, 規準, 規律, 法則, 原則, 校則"
"技術","ぎじゅつ","ぎ.じゅつ","technology, engineering.","私は彼の運転の技術は素晴らしいと思う。","I admire his skill at driving.","演技, 競技, 技師, 芸術, 手術, 学術, 美術館"
"客","きゃく","きゃく","guest, visitor.","夕食にお客を招いていますか。","Do you have guests for dinner?",""
"久し振り","ひさしぶり","ひさ..ぶ","a long time (since the last time), first in a long time.","やあビル、随分久しぶりだね。","I haven't seen you for a long time, Bill.","永久, 恒久, 久々, 振興, 身振り, 振る舞う"
"急","きゅう","きゅう","sudden, abrupt.","事態は急を要するので一刻も待てないと彼は言った。","He said that the matter was urgent, and that there was not a moment to lose.",""
"競争","きょうそう","きょう.そう","competition, contest.","十中八九、彼が競争に勝つでしょう。","In nine cases out of ten, he will win the race.","競馬, 競技, 戦争, 論争, 競り合う"
"教育","きょういく","きょう.いく","education, schooling.","教育は重大な要素である。","Education is a critical element.","教室, 体育, 育児"
"教会","きょうかい","きょう.かい","church, congregation.","その教会は１１７３年までさかのぼる。","The church dates back to 1173.","教室, 教育, 会社, 会議, 会場, 出会う"
"興味","きょうみ","きょう.み","interest (in something), curiosity (about something).","あなたは花に興味がありますか。","Are you interested in flowers?","振興, 興奮, 新興, 復興, 意味, 美味しい"
"鏡","かがみ","かがみ","mirror, looking-glass.","海は鏡のようになめらかだった。","The sea was as smooth as glass.",""
"近所","きんじょ","きん.じょ","neighbourhood, neighborhood.","彼が近所に越してきた。","He moved into my neighborhood.","身近, 最近, 台所, 余所, 事務所"
"空気","くうき","くう.き","air, atmosphere.","空気は音の媒体だ。","The air is a medium for sound.","元気, 気配, 湯気, 気質, 天気"
"空港","くうこう","くう.こう","airport, landing fee.","どの空港から出発しますか。","Which airport do I leave from?","空気, 開港, 香港, 港湾"
"形","かたち","かたち","form, shape.","物質は温度によって形を変える。","Matter changes its form according to temperature.",""
"経済","けいざい","けい.ざい","economy, economics.","アメリカはサービス経済の国だ。","The U.S. is a service economy.","経営, 経験, 救済, 返済"
"警察","けいさつ","けい.さつ","police, police officer.","その場合には警察を呼びなさい。","In that case, call the police.","警官, 警告, 警備, 警戒, 観察, 診察, 視察"
"決して","けっして","けっ","(not) ever, (not) by any means.","アンディはけっしてデートにおくれたことはない。","Andy is never late for a date.","解決, 可決, 決定"
"血","ち","ち","blood, ancestry.","ナイフは血に塗れていた。","The knife was covered in blood.",""
"研究","けんきゅう","けん.きゅう","research, study.","私はエイズの研究に従事している。","I am engaged in AIDS research.","研修, 究極, 究明, 探究"
"原因","げんいん","げん.いん","cause, origin.","それで事故の原因が分かった。","That accounts for the accident.","原稿, 原理, 要因, 死因, 因果"
"故障","こしょう","こ.しょう","fault, trouble.","車が故障したので遅れました。","I was late because my car broke down.","事故, 故郷, 何故, 気障, 障害, 保障, 交通事故"
"湖","みずうみ","みずうみ","lake, lake (in place names).","湖の深さはどのくらいですか。","What is the depth of the lake?",""
"交通","こうつう","こう.つう","traffic, transportation.","その事故で交通は止まった。","The accident stopped the traffic.","交番, 融通, 交差点, 大通り"
"光","ひかり","ひかり","light, illumination.","光が世にやって来た。","Light has come into the world.",""
"公務員","こうむいん","こう.む.いん","public employee, government employee.","彼は２０年前、大学を卒業するとすぐに公務員になった。","He entered civil service 20 years ago right after college.","公園, 公平, 公式, 義務, 店員, 委員, 会員, 議員, 事務所"
"工業","こうぎょう","こう.ぎょう","(manufacturing) industry, for industrial use.","７月の工業生産は急増した。","Industrial production rose sharply in July.","工夫, 工場, 大工, 人工, 授業, 産業, 卒業, 営業"
"校長","こうちょう","こう.ちょう","principal, head teacher.","私たちの校長先生は授業はしません。","Our principal does no teaching.","学校, 高校, 課長, 長閑, 高校生, 小学校, 長引く"
"港","みなと","みなと","harbour, harbor.","その船はいま港にある。","The ship is now in the harbor.",""
"講義","こうぎ","こう.ぎ","lecture, lecture hall.","その講義へ来た人はほとんどいなかった。","Few people came to the lecture.","講堂, 講演, 講師, 休講, 義務, 主義, 意義, 正義"
"郊外","こうがい","こう.がい","suburb, residential area on the outskirt of a city.","私は東京の郊外に住んでいる。","I live on the outskirts of Tokyo.","近郊, 北郊, 南郊, 郊野, 外国, 外科"
"高校","こうこう","こう.こう","senior high school, high school.","私の息子は、高校に入学した。","My son entered high school.","残高, 学校, 校長, 小学校"
"高校生","こうこうせい","こう.こう.せい","senior high school student.","彼らの大部分が高校生だった。","They were for the most part high school students.","残高, 学校, 校長, 学生, 小学校, 誕生日, 一生懸命"
"合う","あう","あ","to come together, to merge.","このチョッキは前が合わない。","This waistcoat won't meet at the front.","都合, 試合, 合併"
"国際","こくさい","こく.さい","international, diplomatic intercourse.","今月は国際貿易見本市が開かれている。","We are having an international trade fair this month.","外国, 国家, 天国, 手際, 実際, 交際"
"今度","こんど","こん.ど","this time, now.","今度だけは遅刻を大目に見てやろう。","I will overlook your lateness this time.","今月, 今日, 今朝, 今年, 度々, 支度, 丁度"
"砂","すな","すな","sand, grit.","後ろ足で砂をかけるようなことをした。","He raised his heel against me.",""
"最近","さいきん","さい.きん","recently, lately.","最近、彼のうわさを耳にしていない。","We haven't heard of him lately.","最早, 最後, 最初, 近所, 身近"
"最後","さいご","さい.ご","end, conclusion.","大丈夫、誠実でいれば最後には報われるよ。","I can assure you that honesty pays in the long run.","最近, 最早, 最初, 午後, 後者"
"最初","さいしょ","さい.しょ","beginning, outset.","その考えは最初のうちはばかげているように思えた。","The idea seemed absurd at first.","最近, 最早, 最後, 初級"
"妻","つま","つま","wife, garnish (esp. one served with sashimi).","私は妻を見舞いに病院に行った。","I went to the hospital to see my wife.",""
"産業","さんぎょう","さん.ぎょう","industry, livelihood.","日本は産業国である。","Japan is an industrial country.","生産, 土産, 授業, 工業, 卒業, 営業, お土産"
"残念","ざんねん","ざん.ねん","regrettable, unfortunate.","お伺いできないのが残念です。","I regret to say I can't come.","名残, 残高, 記念, 観念, 概念, 記念日"
"子","こ","こ","child, kid.","その子は母親に甘えた。","The child played the baby to his mother.",""
"市民","しみん","し.みん","citizen (of a country), citizenry.","その新しい法律が市民から自由を奪った。","The new law has deprived the citizens of their liberty.","市場, 都市, 国民, 住民, 農民, 民間"
"指","ゆび","ゆび","finger, toe.","ドアに指をはさみました。","I caught my finger in the door.",""
"枝","えだ","えだ","branch, bough.","猫は枝の間に隠れた。","The cat hid among the branches.",""
"糸","いと","いと","thread, yarn.","おばあちゃんは身をかがめて糸の付いた針を拾った。","My grandma stooped down and picked up a needle and thread.",""
"試験","しけん","し.けん","examination, exam.","とにかく、試験が終わってほっとしたよ。","Anyhow, I'm relieved the test is over.","試合, 経験, 実験, 受験, 体験"
"試合","しあい","し.あい","match, game.","その試合は何時に始まりますか。","What time does the game start?","試験, 都合, 合併, 間に合う"
"事故","じこ","じ.こ","accident, incident.","その事故について彼に質問した。","I asked him about the accident.","仕事, 見事, 故障, 故郷, 何故, 事務所"
"事務所","じむしょ","じ.む.しょ","office.","私のおじはこの事務所で働いている。","My uncle works in this office.","事故, 仕事, 見事, 義務, 近所, 台所, 余所, 公務員"
"寺","てら","てら","temple (Buddhist), counter for temples.","これが彼の泊っているお寺です。","This is the temple where he stays.",""
"時代","じだい","じ.だい","period, epoch.","今や時代との競争になった。","It was now a race against time.","時間, 時々, 何時, 時計, 交代, 現代"
"自由","じゆう","じ.ゆう","freedom, liberty.","お金を使うも貯めるも自由にしなさい。","You may spend or save at will.","自然, 経由, 理由, 自転車, 自惚れ, 自動車"
"失敗","しっぱい","しっ.ぱい","failure, mistake.","１度や２度の失敗はだれにでもある。","Everybody fails once or twice.","失業, 失望, 失格, 勝敗, 敗戦, 腐敗, 敗北"
"社会","しゃかい","しゃ.かい","society, public.","彼の一生は社会の下積みで終わった。","He lived and died in obscurity.","会社, 神社, 社長, 会議, 会場, 新聞社, 出会う"
"社長","しゃちょう","しゃ.ちょう","company president, manager.","この会社の社長は誰ですか。","Who is the boss of this company?","会社, 神社, 社会, 課長, 長閑, 校長, 新聞社, 長引く"
"趣味","しゅみ","しゅ.み","hobby, pastime.","趣味については話しましたか？","Did you talk about your hobby?","趣旨, 趣向, 意味, 興味, 趣意書, 美味しい"
"習慣","しゅうかん","しゅう.かん","habit, (social) custom.","彼はたばこを吸う習慣をやめた。","He got out of the habit of smoking.","練習, 予習, 復習, 慣習"
"集める","あつめる","あつ","to collect, to assemble.","趣味は切手を集めることです。","My hobby is collecting stamps.","集団, 集中, 集会"
"住所","じゅうしょ","じゅう.しょ","address (of a home, business, etc.), residence.","あなたの名前と住所を記入しなさい。","Fill in your name and address.","住宅, 住民, 近所, 台所, 余所, 事務所"
"十分","じゅうぶん","じゅう.ぶん","enough, sufficient.","私はこの本を買うのに十分なお金を持っている。","I have enough money to buy this book.","自分, 大分, 半分, 五十音"
"柔道","じゅうどう","じゅう.どう","judo, judo gi.","柔道では力より技のほうが大切である。","In judo, technique is more important than strength.","柔軟, 水道, 片道, 道具, 優柔不断"
"女性","じょせい","じょ.せい","woman, female.","その少女は大きくなってすらりとした女性になった。","The girl has grown into a slender woman.","女房, 彼女, 男性, 性格, 性能, 女の子"
"将来","しょうらい","しょう.らい","future, (future) prospects.","これを将来使えるように取っておこう。","I'll keep this for future use.","将棋, 将軍, 中将, 来月, 来週, 来年, 出来事"
"小学校","しょうがっこう","しょう.がっ.こう","primary school, elementary school.","あなたは小学校に通っているの？","Do you go to an elementary school?","小鳥, 小屋, 小説, 学生, 大学, 校長, 高校, 高校生"
"小説","しょうせつ","しょう.せつ","novel, story.","事実は小説よりも奇なり。","Fact is stranger than fiction.","小鳥, 小屋, 説得, 演説, 説明, 小学校"
"紹介","しょうかい","しょう.かい","introduction, presentation.","あなたを私の両親に紹介したい。","I want you to meet my parents.","厄介, 仲介, 介護, 介入"
"場所","ばしょ","ば.しょ","place, location.","このソファーは場所を取りすぎる。","This sofa takes too much room.","会場, 工場, 近所, 台所, 余所, 駐車場, 飛行場, 事務所"
"新聞社","しんぶんしゃ","しん.ぶん.しゃ","newspaper company.","どちらの新聞社にお勤めですか。","Which newspaper do you work for?","新鮮, 会社, 神社, 社会, 社長, 聞き取り"
"森","もり","もり","forest, shrine grove.","野獣は森に住んでいる。","Wild animals live in the forest.",""
"神社","じんじゃ","じん.じゃ","Shinto shrine, (Shinto) shrines and (Buddhist) temples.","京都には多くの神社がある。","There are many shrines in Kyoto.","神経, 精神, 神様, 会社, 社会, 社長, 新聞社"
"親","おや","おや","parent, parents.","アナは、親が知らないうちに結婚した。","Anna married without the knowledge of her parents.",""
"人形","にんぎょう","にん.ぎょう","doll, puppet.","メアリーは私にアメリカの人形をくれた。","Mary gave me an American doll.","一人, 恋人, 形式, 図形, 外国人, 長方形"
"人口","じんこう","じん.こう","population, common talk.","紀元２０２０年までには、この市の人口は倍増しているだろう。","By the year 2020, the population of our city will have doubled.","人形, 一人, 恋人, 出口, 悪口, 利口, 外国人"
"水泳","すいえい","すい.えい","swimming, swim meet.","水泳が私の楽しみの１つです。","Swimming is one thing I enjoy.","洪水, 水道, 競泳, 水曜日, 平泳ぎ"
"水道","すいどう","すい.どう","water supply, water service.","昨日水道を止められた。","The water was cut off yesterday.","水泳, 洪水, 柔道, 片道, 道具, 水曜日"
"世界","せかい","せ.かい","the world, society.","愛の力は世界を動かす。","Love makes the world go round.","世紀, 世間, 中世, 限界, 境界, 業界, 政界, 世の中"
"成る程","なるほど","な..ほど","I see, that's right.","なるほど彼は若いが、用心深い。","Indeed he is young, but he is prudent.","完成, 構成, 賛成, 成功, 成人, 程度, 過程, 日程, 課程, 方程式"
"政治","せいじ","せい.じ","politics, government.","政治について討論しよう。","I suggest we discuss politics.","政府, 政党, 行政, 政権, 自治, 治安"
"星","ほし","ほし","star (usu. excluding the Sun), planet (usu. excluding Earth).","昨夜、屋上から星を観察した。","Last night, we watched the stars from the rooftop.",""
"生きる","いきる","い","to live, to exist.","この本はまだ版権が生きている。","This book is still copyrighted.","学生, 誕生日, 一生懸命"
"生活","せいかつ","せい.かつ","life, living.","収入に応じた生活をするように。","You should try to live within your means.","学生, 活気, 活動, 活発, 活用, 誕生日, 一生懸命"
"生産","せいさん","せい.さん","production, manufacture.","この工場はＣＤプレーヤーを生産している。","This factory produces CD players.","学生, 産業, 土産, 誕生日, お土産, 一生懸命"
"盛ん","さかん","さか","prosperous, flourishing.","日本では英語教育が盛んである。","English education flourishes in Japan.","盛大, 繁盛, 盛り上がる"
"西洋","せいよう","せい.よう","the West, the Occident.","それらは西洋の風呂よりずっといいです。","They are much better than Western baths.","関西, 東西, 西暦, 洋服, 東洋, 海洋, 洋風"
"席","せき","せき","seat, location (of a gathering, etc.).","この席を見ていてくれませんか。","Can you save this seat for me?",""
"昔","むかし","むかし","the old days, the past.","ここは昔、畑だった。","This place used to be a field.",""
"赤ちゃん","あかちゃん","あか","baby, infant.","その赤ちゃんは歯が生えはじめている。","The baby is cutting his teeth.","赤道, 真っ赤, 赤ん坊"
"説明","せつめい","せつ.めい","explanation, exposition.","私に規則を説明して下さい。","Please explain the rule to me.","小説, 説得, 演説, 明後日"
"先輩","せんぱい","せん.ぱい","senior (at work or school), superior.","私たちは彼をよき先輩として尊敬している。","We respect him as a good senior.","先月, 先週, 後輩, 輩出, 年輩, 真っ先"
"戦争","せんそう","せん.そう","war, fighting.","その国は戦争で荒廃してしまった。","The country was wasted by war.","大戦, 競争, 論争"
"線","せん","せん","line, stripe.","この線の終点はどこですか。","Where is the end of this line?",""
"草","くさ","くさ","grass, weed.","月には草が生えて無い。","There is no grass on the moon.",""
"送る","おくる","おく","to send, to dispatch.","この手紙を日本に送ってくれませんか。","Could you send this letter to Japan?","放送, 輸送, 郵送, 見送り"
"息子","むすこ","むす.こ","son, penis.","母親は息子にやかましく言って聞かせた。","The mother whipped sense into her boy.","休息, 利息, 帽子, 子供, 双子, 椅子, 王子"
"卒業","そつぎょう","そつ.ぎょう","graduation, completion (of a course).","彼は学校を卒業したあと、ロンドンへ行った。","After he left school, he went to London.","何卒, 授業, 工業, 産業, 営業, 脳卒中"
"打つ","うつ","う","to hit, to strike.","階段から落ちて背中を強く打ちました。","I fell down the stairs and hit my back very hard.","打撃, 打ち消す, 打ち込む, 打ち合わせ"
"大事","だいじ","だい.じ","important, serious.","あなたの親切な言葉は大事に心に刻みつけておきます。","I'll treasure your kind words.","大学, 大勢, 大人, 事故, 仕事, 見事, 大使館, 大好き, 事務所"
"男性","だんせい","だん.せい","man, male.","「一部屋に３人で泊まっていただけますか」と彼はたずねました。「ええ、かまいませんよ」と３人の男性は答えました。","He asked the men, Would you share a room? Certainly, we will, answered the three men.","長男, 男子, 女性, 性格, 性能, 男の子"
"地震","じしん","じ.しん","earthquake, seismology.","地震がその地域を襲った。","The earthquake shook the area.","地図, 生地, 地理, 震度, 震源, 余震, 地下鉄"
"中学校","ちゅうがっこう","ちゅう.がっ.こう","junior high school, middle school.","この歌を聞くと私の中学校時代を思い出します。","This song reminds me of my junior high school days.","背中, 年中, 途中, 学生, 大学, 校長, 高校, 真ん中, 小学校, 高校生"
"注意","ちゅうい","ちゅう.い","attention, notice.","健康にもっと注意を払うべきだ。","You should pay more attention to your health.","注射, 意味, 意見, 用意, 意外"
"虫","むし","むし","insect, bug.","彼女は虫が大嫌いだ。","She has a strong dislike of insects.",""
"駐車場","ちゅうしゃじょう","ちゅう.しゃ.じょう","parking lot, car park.","その駐車場は無料だ。","The parking lot is free of charge.","駐在, 駐留, 駐屯, 歯車, 電車, 場所, 会場, 工場, 自転車, 自動車, 飛行場"
"適当","てきとう","てき.とう","suitable, proper.","ＩＮＦ社の誰か最も適当な人を教えてください。","Can you please let me know the most suitable person in INF Co., Ltd?","適切, 適用, 適度, 本当, お弁当"
"店員","てんいん","てん.いん","employee (of a store), shop assistant.","店員はその荷物にラベルをつけた。","The clerk labeled the baggage.","支店, 書店, 委員, 会員, 議員, 喫茶店, 公務員"
"点","てん","てん","dot, spot.","どんな小さな点でも見ることができる。","I can see the tiniest spot.",""
"都合","つごう","つ.ごう","circumstances, condition.","何時がご都合よいでしょうか。","What time will be right for you?","首都, 都会, 都市, 試合, 合併, 間に合う"
"島","しま","しま","island, one's territory (of a sex worker, organized crime gang, etc.).","その王は島を治めた。","The king reigned over the island.",""
"湯","ゆ","ゆ","hot water, hot bath.","砂糖は湯に入れると溶ける。","Sugar dissolves in hot water.",""
"答え","こたえ","こた","answer, reply.","キャロルは拒絶した。言い換えると、彼女の答えは「ノー」だった。","Carol refused; in other words her answer was no.","答案, 問答, 回答"
"動物園","どうぶつえん","どう.ぶつ.えん","zoo, zoological gardens.","コンドルは動物園では決して育たない。","Condors have never bred in zoos.","建物, 物質, 荷物, 果物, 公園, 園芸, 自動車, 幼稚園"
"道具","どうぐ","どう.ぐ","tool, implement.","この道具はなんの役にもたたない。","This tool is good for nothing.","柔道, 水道, 片道, 玩具, 具合, 家具, 具体"
"特に","とくに","とく","particularly, especially.","私は音楽、特にロックが大好きだ。","I love music, especially rock.","特急, 特別, 特許, 特徴"
"特別","とくべつ","とく.べつ","special, particular.","特別価格の見積りです。","We have quoted special prices.","特急, 特許, 特徴, 別荘"
"日","ひ","ひ","day, days.","この服は寒い冬の日には向かない。","These clothes are not appropriate for a cold winter day.",""
"日記","にっき","にっ.き","diary, journal.","彼女はそのことを日記に書いた。","She wrote about it in her diary.","毎日, 日本, 記憶, 記事, 記者, 火曜日"
"入院","にゅういん","にゅう.いん","hospitalization, hospitalisation.","入院の受付窓口はどこですか。","Where is the admission's office?","入口, 入学, 病院, 退院, 寺院, 大学院"
"入学","にゅうがく","にゅう.がく","admission (to a school or university), entrance.","私の息子は、高校に入学した。","My son entered high school.","入院, 入口, 学生, 学校, 大学, 小学校"
"熱","ねつ","ねつ","heat, fever.","熱によって氷は水に変わる。","Heat turns ice into water.",""
"背中","せなか","せ.なか","back (of the body), back to back.","このブラウスはボタンが背中にある。","This blouse buttons at the back.","背広, 背景, 年中, 途中, 中学校, 真ん中"
"髪","かみ","かみ","hair (on the head), (a) hair.","その洋服は彼女の赤い髪に合う。","That dress matches her red hair.",""
"反対","はんたい","はん.たい","opposition, resistance.","私は、その請求書を払う事に反対した。","I objected to paying the bill.","違反, 反抗, 反省, 反映, 絶対, 対象"
"番組","ばんぐみ","ばん.ぐみ","program (e.g. TV), programme.","今晩どんな番組がありますか。","What's on the air this evening?","一番, 番号, 交番, 順番, 組合, 組織"
"彼女","かのじょ","かの.じょ","she, her.","「あの音で考え事ができないわ」と、彼女はタイプライターを見つめながら言った。","I can't think with that noise, she said, staring at the typewriter.","彼方, 彼岸, 女性, 女房, 女の子"
"比べる","くらべる","くら","to compare, to make a comparison (between).","周りの人達と比べると彼は本当に幸せそうだった。","He looked quite happy in contrast with those around him.","比較, 比率, 比例"
"美しい","うつくしい","うつく","beautiful, pretty.","あなたは美しい蝶々です。","You are a beautiful butterfly.","美人, 美容, 美術館, 美味しい"
"美術館","びじゅつかん","び.じゅつ.かん","art museum, art gallery.","このバスは美術館まで行きますか。","Does this bus go to the museum?","美人, 美容, 技術, 芸術, 手術, 学術, 旅館, 図書館, 大使館, 映画館, 美味しい"
"必ず","かならず","かなら","always, without exception.","あの歌は必ずヒットするよ。","That song's bound to be a hit.","必死, 必要, 必修, 必需品"
"必要","ひつよう","ひつ.よう","necessary, needed.","私達が生きていくためには衣食住が必要です。","We need food, clothes and a home in order to live.","必死, 必修, 主要, 重要, 要求, 必需品"
"表","おもて","おもて","surface, face (i.e. the visible side of an object).","この紙はどちらが表だか見分けがつかない。","I cannot tell which is the right side of this paper.",""
"夫","おっと","おっと","husband, male.","妻は夫より長生きするものだ。","Wives usually outlive husbands.",""
"普通","ふつう","ふ.つう","normal, ordinary.","日曜日は私にとって普通の日ではない。","Sunday is not an ordinary day to me.","普段, 普及, 普遍, 交通, 融通, 普段着, 大通り"
"部長","ぶちょう","ぶ.ちょう","head (chief, director) of a section or department, head of a (school) club.","ＡＢソフトウエアの海外営業部長をご紹介いただけませんか。","Would you please put me in touch with the General Manager of Overseas Sales of AB Software Ltd?","全部, 部屋, 部分, 課長, 長閑, 校長, 大部分, 長引く"
"複雑","ふくざつ","ふく.ざつ","complex, complicated.","あれはとても複雑な機械だ。","That is a very complex machine.","複数, 複写, 複合, 重複, 雑誌, 雑巾, 混雑, 雑音"
"文化","ぶんか","ぶん.か","culture, civilization.","両地域は宗教と文化が違っている。","The two regions differ in religion and culture.","文章, 注文, 文字, 作文, 化粧, 化学, 変化"
"文学","ぶんがく","ぶん.がく","literature, scholar of literature.","彼女はフランス文学を専攻している。","She majors in French literature.","文章, 注文, 文字, 作文, 学生, 学校, 大学, 小学校"
"壁","かべ","かべ","wall, partition.","男はビンを壁に叩きつけた。","The man dashed the bottle against the wall.",""
"変わる","かわる","か","to change, to be transformed.","私のE-mailアドレスが変わりました。","My e-mail address has been changed.","大変, 一変"
"返事","へんじ","へん.じ","reply, answer.","すぐ返事をしてもらいたいと思っています。","I hope you will answer me soon.","返還, 事故, 仕事, 見事, 裏返す, 事務所, 繰り返す"
"法律","ほうりつ","ほう.りつ","law, law office.","この法律はすべての人に適用される。","This law applies to everybody.","文法, 方法, 憲法, 規律, 旋律, 一律"
"訪ねる","たずねる","たず","to visit, to call on.","いつでも私のオフィスを訪ねなさい。","Call at my office at any time.","訪問"
